id,english,russian,domain,scenario,level,priority,phrase_type,family,source_id,source_title,tags
ophc2_d9ed7506f0a1,retinal detachment presenting with flashes,отслойка сетчатки: клиническое проявление — flashes,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,retinal detachment,yanoff_duker,"Ophthalmology, Yanoff & Duker",presentation
ophc2_da399dd91598,risk of treatment failure in ocular trauma,фактор риска / риск: risk of treatment failure при глазной trauma,Core Ophthalmology,risk stratification,C2,A,risk pattern,ocular trauma,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_1334b0d6f702,diplopia associated with retinal detachment,"diplopia, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,diplopia,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_00a7332cbd7a,anisocoria associated with anterior uveitis,"anisocoria, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,anisocoria,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_a34b000f8989,endophthalmitis presenting with ocular pain,эндофтальмит: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,endophthalmitis,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_05e005d44efb,endophthalmitis presenting with photophobia,эндофтальмит: клиническое проявление — photophobia,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,endophthalmitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_4a5ee40e4ad3,orbital cellulitis presenting with floaters,орбитальный целлюлит: клиническое проявление — floaters,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,orbital cellulitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_6c15e07ee195,chemical injury presenting with ocular pain,chemical injury: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,chemical injury,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_77454d802ebf,risk of visual loss in infectious keratitis,фактор риска / риск: risk of зрительный потеря при infectious keratitis,Core Ophthalmology,risk stratification,C2,A,risk pattern,infectious keratitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_52b129aaa45c,risk of treatment failure in optic neuritis,фактор риска / риск: risk of treatment failure при неврит зрительного нерва,Core Ophthalmology,risk stratification,C2,A,risk pattern,optic neuritis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",risk;prognosis
ophc2_73aa1b528c16,ciliary flush associated with optic neuritis,"ciliary flush, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ciliary flush,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_ca88bd6053ae,acute angle closure presenting with floaters,острый угол закрытие: клиническое проявление — floaters,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,acute angle closure,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_f23c14297162,anterior uveitis presenting with photophobia,передний увеит: клиническое проявление — photophobia,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,anterior uveitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_5fbebf18043b,giant cell arteritis presenting with flashes,giant cell arteritis: клиническое проявление — flashes,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,giant cell arteritis,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_d37f8d26aba0,risk of treatment failure in endophthalmitis,фактор риска / риск: risk of treatment failure при эндофтальмит,Core Ophthalmology,risk stratification,C2,A,risk pattern,endophthalmitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_635ffe942058,predictor of poor outcome in endophthalmitis,фактор риска / риск: predictor of poor outcome при эндофтальмит,Core Ophthalmology,risk stratification,C2,A,risk pattern,endophthalmitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",risk;prognosis
ophc2_499310d86bc8,diplopia associated with infectious keratitis,"diplopia, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,diplopia,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_305892e3e52a,anisocoria associated with retinal detachment,"anisocoria, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,anisocoria,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_4187e41698e1,infectious keratitis presenting with floaters,infectious keratitis: клиническое проявление — floaters,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,infectious keratitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_3018af7b57c9,risk of treatment failure in anterior uveitis,фактор риска / риск: risk of treatment failure при передний увеит,Core Ophthalmology,risk stratification,C2,A,risk pattern,anterior uveitis,yanoff_duker,"Ophthalmology, Yanoff & Duker",risk;prognosis
ophc2_1300e857bff9,predictor of poor outcome in anterior uveitis,фактор риска / риск: predictor of poor outcome при передний увеит,Core Ophthalmology,risk stratification,C2,A,risk pattern,anterior uveitis,yanoff_duker,"Ophthalmology, Yanoff & Duker",risk;prognosis
ophc2_da4cbf096208,ocular hypotony associated with optic neuritis,"глазной hypotony, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ocular hypotony,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_22d1bab8d6a2,ciliary flush associated with anterior uveitis,"ciliary flush, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ciliary flush,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_a0f66db12b24,choroidal folds associated with optic neuritis,"хориоидальный folds, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,choroidal folds,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_9cf77b4b21f3,endophthalmitis presenting with blurred vision,эндофтальмит: клиническое проявление — blurred vision,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,endophthalmitis,yanoff_duker,"Ophthalmology, Yanoff & Duker",presentation
ophc2_9cbdff68a7fc,orbital cellulitis presenting with ocular pain,орбитальный целлюлит: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,orbital cellulitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_b331073903ad,orbital cellulitis presenting with photophobia,орбитальный целлюлит: клиническое проявление — photophobia,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,orbital cellulitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_67d300fc00a5,chemical injury presenting with blurred vision,chemical injury: клиническое проявление — blurred vision,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,chemical injury,yanoff_duker,"Ophthalmology, Yanoff & Duker",presentation
ophc2_95aded273ca1,vitreous cells associated with anterior uveitis,"витреальный cells, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,vitreous cells,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_f26f5f5fa49b,predictor of poor outcome in retinal detachment,фактор риска / риск: predictor of poor outcome при отслойка сетчатки,Core Ophthalmology,risk stratification,C2,A,risk pattern,retinal detachment,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_42cdf701afdc,aqueous flare associated with retinal detachment,"aqueous flare, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,aqueous flare,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_a41e321ccf05,optic disc pallor associated with optic neuritis,"бледность диска зрительного нерва, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,optic disc pallor,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_a6d35bcf0fbc,choroidal folds associated with anterior uveitis,"хориоидальный folds, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,choroidal folds,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_378d346a6956,infectious keratitis presenting with ocular pain,infectious keratitis: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,infectious keratitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_0d82b668f034,giant cell arteritis presenting with ocular pain,giant cell arteritis: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,giant cell arteritis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_aa621a6d7c5d,predictor of poor outcome in acute angle closure,фактор риска / риск: predictor of poor outcome при острый угол закрытие,Core Ophthalmology,risk stratification,C2,A,risk pattern,acute angle closure,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_baa78ec50842,ciliary flush associated with acute angle closure,"ciliary flush, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ciliary flush,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_97a2e2435a2e,aqueous flare associated with acute angle closure,"aqueous flare, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,aqueous flare,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_1ef3df6fe8ab,predictor of poor outcome in giant cell arteritis,фактор риска / риск: predictor of poor outcome при giant cell arteritis,Core Ophthalmology,risk stratification,C2,A,risk pattern,giant cell arteritis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",risk;prognosis
ophc2_805e1cc51655,blurred vision associated with acute angle closure,"blurred vision, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,blurred vision,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_1174c88bb717,visual field defect associated with optic neuritis,"зрительный поле дефект, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,visual field defect,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_3d7268c5015c,ocular hypertension associated with optic neuritis,"глазной hypertension, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ocular hypertension,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_f13ecf81512a,ocular hypotony associated with retinal detachment,"глазной hypotony, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ocular hypotony,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_528f8dec79e6,ciliary flush associated with giant cell arteritis,"ciliary flush, ассоциированный/связан с giant cell arteritis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ciliary flush,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_91c1f592d836,aqueous flare associated with infectious keratitis,"aqueous flare, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,aqueous flare,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_fbcccd5e2896,painless visual loss associated with optic neuritis,"painless зрительный потеря, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,painless visual loss,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_6f7f411920ae,giant cell arteritis presenting with blurred vision,giant cell arteritis: клиническое проявление — blurred vision,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,giant cell arteritis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_0a59aa7e3db9,ocular discomfort associated with retinal detachment,"глазной discomfort, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ocular discomfort,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_83d46b1e88ba,visual field defect associated with anterior uveitis,"зрительный поле дефект, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,visual field defect,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_a904bec906fd,ocular hypotony associated with infectious keratitis,"глазной hypotony, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ocular hypotony,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_f54926b366c0,endophthalmitis presenting with reduced visual acuity,эндофтальмит: клиническое проявление — сниженный зрительный acuity,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,endophthalmitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_df1d0c448480,risk of progression in central retinal vein occlusion,фактор риска / риск: risk of progression при окклюзия центральной вены сетчатки,Core Ophthalmology,risk stratification,C2,A,risk pattern,central retinal vein occlusion,yanoff_duker,"Ophthalmology, Yanoff & Duker",risk;prognosis
ophc2_bde910318e17,risk of visual loss in central retinal vein occlusion,фактор риска / риск: risk of зрительный потеря при окклюзия центральной вены сетчатки,Core Ophthalmology,risk stratification,C2,A,risk pattern,central retinal vein occlusion,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",risk;prognosis
ophc2_79e9213304aa,reduced visual acuity associated with anterior uveitis,"сниженный зрительный acuity, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,reduced visual acuity,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_b8636ce3a56b,visual field defect associated with retinal detachment,"зрительный поле дефект, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,visual field defect,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_96789cff5566,optic disc pallor associated with infectious keratitis,"бледность диска зрительного нерва, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,optic disc pallor,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_db4eed92c51f,optic disc pallor associated with giant cell arteritis,"бледность диска зрительного нерва, ассоциированный/связан с giant cell arteritis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,optic disc pallor,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_999e6a19042c,retinal hemorrhages associated with retinal detachment,"ретинальный hemorrhages, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,retinal hemorrhages,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_5e35643bdd89,anterior uveitis presenting with reduced visual acuity,передний увеит: клиническое проявление — сниженный зрительный acuity,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,anterior uveitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_db9bc3afde0b,diplopia associated with central retinal vein occlusion,"diplopia, ассоциированный/связан с окклюзия центральной вены сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,diplopia,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_2fc9becb3e4f,conjunctival injection associated with anterior uveitis,"конъюнктивальный injection, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,conjunctival injection,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_825339854ba0,retinal hemorrhages associated with acute angle closure,"ретинальный hemorrhages, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,retinal hemorrhages,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_3bd4a2454347,visual field defect associated with infectious keratitis,"зрительный поле дефект, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,visual field defect,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_4a66107103af,retinal hemorrhages associated with infectious keratitis,"ретинальный hemorrhages, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,retinal hemorrhages,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_8c5e5b7f1d6e,central retinal artery occlusion presenting with flashes,центральный ретинальный artery occlusion: клиническое проявление — flashes,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,central retinal artery occlusion,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_39b9265e43e7,reduced visual acuity associated with acute angle closure,"сниженный зрительный acuity, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,reduced visual acuity,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_79ad95221b02,diplopia associated with central retinal artery occlusion,"diplopia, ассоциированный/связан с центральный ретинальный artery occlusion",Core Ophthalmology,differential diagnosis,C2,A,association pattern,diplopia,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_f487b58a3df0,conjunctival injection associated with retinal detachment,"конъюнктивальный injection, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,conjunctival injection,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_5a78a5bdc05a,anterior chamber cells associated with retinal detachment,"передний chamber cells, ассоциированный/связан с отслойка сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,anterior chamber cells,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_40ed4aa1f142,risk of postoperative complications in retinal detachment,фактор риска / риск: risk of postoperative complications при отслойка сетчатки,Core Ophthalmology,risk stratification,C2,A,risk pattern,retinal detachment,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_dffb95842f63,reduced visual acuity associated with infectious keratitis,"сниженный зрительный acuity, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,reduced visual acuity,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_54ca9f01d8df,reduced visual acuity associated with giant cell arteritis,"сниженный зрительный acuity, ассоциированный/связан с giant cell arteritis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,reduced visual acuity,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_fc08b5f3d694,foreign body sensation associated with acute angle closure,"foreign body sensation, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,foreign body sensation,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_60de6cdb3dd9,abnormal pupillary reaction associated with optic neuritis,"abnormal pupillary реакция, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,abnormal pupillary reaction,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_de031b941e7c,conjunctival injection associated with acute angle closure,"конъюнктивальный injection, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,conjunctival injection,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_d01fcb269299,anterior chamber cells associated with acute angle closure,"передний chamber cells, ассоциированный/связан с острый угол закрытие",Core Ophthalmology,differential diagnosis,C2,A,association pattern,anterior chamber cells,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_f124eb4196b0,infectious keratitis presenting with reduced visual acuity,infectious keratitis: клиническое проявление — сниженный зрительный acuity,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,infectious keratitis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_2f6fa828c373,central retinal vein occlusion presenting with ocular pain,окклюзия центральной вены сетчатки: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,central retinal vein occlusion,yanoff_duker,"Ophthalmology, Yanoff & Duker",presentation
ophc2_9f9f0e177342,giant cell arteritis presenting with reduced visual acuity,giant cell arteritis: клиническое проявление — сниженный зрительный acuity,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,giant cell arteritis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_171fba7ff671,foreign body sensation associated with giant cell arteritis,"foreign body sensation, ассоциированный/связан с giant cell arteritis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,foreign body sensation,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_edc257e19be6,conjunctival injection associated with infectious keratitis,"конъюнктивальный injection, ассоциированный/связан с infectious keratitis",Core Ophthalmology,differential diagnosis,C2,A,association pattern,conjunctival injection,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_f71f4edae8ce,risk of treatment failure in central retinal vein occlusion,фактор риска / риск: risk of treatment failure при окклюзия центральной вены сетчатки,Core Ophthalmology,risk stratification,C2,A,risk pattern,central retinal vein occlusion,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",risk;prognosis
ophc2_25f2d596d3d4,risk of postoperative complications in infectious keratitis,фактор риска / риск: risk of postoperative complications при infectious keratitis,Core Ophthalmology,risk stratification,C2,A,risk pattern,infectious keratitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_f9ae3264b758,ciliary flush associated with central retinal vein occlusion,"ciliary flush, ассоциированный/связан с окклюзия центральной вены сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ciliary flush,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_401ab3f48880,aqueous flare associated with central retinal vein occlusion,"aqueous flare, ассоциированный/связан с окклюзия центральной вены сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,aqueous flare,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,association;ddx
ophc2_80f755a66b60,central retinal artery occlusion presenting with photophobia,центральный ретинальный artery occlusion: клиническое проявление — photophobia,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,central retinal artery occlusion,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_577a5b7750a7,central retinal vein occlusion presenting with blurred vision,окклюзия центральной вены сетчатки: клиническое проявление — blurred vision,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,central retinal vein occlusion,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_7208791386ab,painful red eye associated with central retinal vein occlusion,"painful red eye, ассоциированный/связан с окклюзия центральной вены сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,painful red eye,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_2febd4a0d523,ocular hypotony associated with central retinal vein occlusion,"глазной hypotony, ассоциированный/связан с окклюзия центральной вены сетчатки",Core Ophthalmology,differential diagnosis,C2,A,association pattern,ocular hypotony,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
